timestamp,PC,PCD,CH_data
1637046868301,51,0,28376 35443 27817 33779 32884 78 32792 9
1637046868301,52,0,28376 35443 27821 33781 32872 76 32795 9
1637046868301,53,0,28376 35443 27824 33783 32858 74 32798 9
1637046868343,54,17,28376 35443 27828 33785 32842 72 32800 9
1637046868343,55,1,28376 35443 27832 33787 32824 71 32802 9
1637046868343,56,10,28376 35443 27836 33789 32805 69 32803 9
1637046868344,57,79,28376 35443 27840 33791 32786 67 32803 9
1637046868344,58,0,28376 35443 27845 33794 32768 66 32802 10
1637046868344,59,4,28376 35443 27849 33796 32752 64 32800 10
1637046868345,60,0,28376 35443 27853 33798 32738 63 32798 10
1637046868345,61,0,28376 35443 27857 33800 32726 61 32795 10
1637046868345,62,0,28376 35443 27860 33802 32717 60 32791 11
1637046868417,63,0,28376 35443 27864 33805 32712 59 32787 11
1637046868417,0,111,28376 35443 27868 33807 32709 58 32783 11
1637046868417,1,65,28376 35443 27872 33811 32710 57 32778 12
1637046868419,2,177,28376 35443 27876 33814 32715 57 32773 12
1637046868419,3,24,28376 35443 27880 33817 32722 56 32769 12
1637046868419,4,96,28376 35443 27884 33820 32733 56 32767 12
1637046868419,5,139,28376 35443 27888 33823 32747 56 32763 13
1637046868420,6,85,28376 35443 27891 33826 32764 56 32761 13
1637046868421,7,1,28376 35443 27894 33828 32782 56 32759 13
1637046868420,8,30,28376 35443 27897 33831 32804 56 32758 13
1637046868421,9,77,28376 35443 27898 33833 32828 56 32757 14
1637046868420,10,0,28376 35443 27899 33834 32853 57 32758 14
1637046868421,11,1,28376 35443 27898 33834 32880 58 32758 14
1637046868422,12,0,28376 35443 27896 33833 32908 59 32759 15
1637046868422,13,0,28376 35443 27892 33831 32937 59 32760 15
1637046868422,14,0,28376 35443 27886 33827 32967 60 32762 15
1637046868422,15,2,28376 35443 27879 33821 32996 61 32764 15
1637046868422,16,88,28376 35443 27869 33814 33026 62 32766 16
1637046868422,17,97,28376 35443 27859 33806 33055 63 32768 16
1637046868423,18,49,28376 35443 27847 33796 33083 64 32770 16
1637046868423,19,23,28376 35443 27832 33785 33109 66 32773 16
1637046868423,20,246,28376 35443 27815 33773 33134 67 32777 16
1637046868423,21,174,28376 35443 27795 33760 33155 68 32781 17
1637046868463,22,85,28376 35443 27774 33745 33174 69 32785 17
1637046868463,23,1,28376 35443 27751 33730 33189 70 32789 17
1637046868463,24,30,28376 35443 27726 33714 33200 70 32793 17
1637046868464,25,77,28376 35443 27701 33698 33207 71 32797 17
1637046868465,26,0,28376 35443 27676 33682 33209 72 32801 17
1637046868464,27,2,28376 35443 27652 33666 33207 73 32804 17
1637046868465,28,0,28376 35443 27626 33650 33200 74 32807 18
1637046868464,29,0,28376 35443 27601 33634 33190 75 32810 18
1637046868465,30,0,28376 35443 27575 33618 33175 76 32812 18
1637046868508,31,0,28376 35443 27550 33603 33157 77 32814 18
1637046868508,32,0,28376 35443 27525 33588 33136 78 32815 17
1637046868508,33,0,28376 35443 27501 33574 33112 79 32815 17
1637046868511,34,0,28376 35443 27478 33561 33086 80 32816 17
1637046868511,35,0,28376 35443 27456 33549 33059 82 32815 17
1637046868512,36,0,28376 35443 27435 33538 33029 84 32815 17
1637046868511,37,0,28376 35443 27417 33527 32998 86 32814 17
1637046868511,38,17,28376 35443 27399 33518 32966 88 32813 17
1637046868512,39,1,28376 35443 27383 33509 32933 91 32812 16
1637046868511,40,30,28376 35443 27369 33502 32900 94 32810 16
1637046868511,41,79,28376 35443 27356 33495 32865 97 32808 16
1637046868512,42,0,28376 35443 27344 33489 32831 101 32806 16
1637046868511,43,3,28376 35443 27334 33484 32797 106 32804 16
1637046868553,44,0,28376 35443 27325 33480 32764 111 32801 15
1637046868553,45,0,28376 35443 27318 33476 32731 116 32798 15
1637046868553,46,0,28376 35443 27311 33473 32698 122 32795 15
1637046868555,47,0,28376 35443 27307 33470 32667 128 32792 15
1637046868555,48,0,28376 35443 27303 33468 32637 135 32788 15
1637046868555,49,0,28376 35443 27300 33467 32610 142 32784 15
1637046868555,50,0,28376 35443 27299 33466 32584 150 32781 15
1637046868555,51,0,28376 35443 27299 33466 32560 158 32777 15
1637046868555,52,0,28376 35443 27299 33467 32539 166 32773 15
1637046868555,53,0,28376 35443 27301 33468 32521 175 32770 15
1637046868598,54,17,28376 35443 27303 33470 32505 183 32768 15
1637046868598,55,1,28376 35443 27305 33471 32493 192 32766 16
1637046868598,56,10,28376 35443 27309 33473 32485 201 32764 16
1637046868600,57,79,28376 35443 27313 33476 32479 210 32762 16
1637046868600,58,0,28376 35443 27318 33479 32476 219 32761 17
1637046868600,59,4,28376 35443 27323 33483 32477 227 32760 17
1637046868600,60,0,28376 35443 27329 33486 32480 236 32760 18
1637046868600,61,0,28376 35443 27334 33490 32487 244 32759 19
1637046868600,62,0,28376 35443 27340 33494 32497 251 32759 19
1637046868601,63,0,28376 35443 27347 33499 32509 258 32760 20
1637046868601,0,111,28376 35443 27353 33503 32524 265 32760 21
1637046868601,1,65,28376 35443 27359 33508 32542 271 32761 21
1637046868644,2,177,28376 35443 27365 33513 32562 277 32762 22
1637046868644,3,24,28376 35443 27371 33517 32583 282 32763 23
1637046868644,4,96,28376 35443 27378 33522 32605 286 32764 24
1637046868644,5,139,28376 35443 27385 33527 32628 290 32766 24
1637046868646,6,85,28376 35443 27392 33532 32651 293 32768 25
1637046868646,7,1,28376 35443 27399 33537 32673 295 32769 26
1637046868646,8,30,28376 35443 27407 33541 32696 297 32772 27
1637046868646,9,77,28376 35443 27414 33546 32717 298 32775 27
1637046868646,10,0,28376 35443 27422 33551 32739 298 32778 28
1637046868646,11,1,28376 35443 27429 33555 32760 298 32782 28
1637046868688,12,0,28376 35443 27437 33559 32781 297 32785 29
1637046868688,13,0,28376 35443 27443 33562 32804 296 32788 29
